"record_status","archive_id","archive_sha256","provider","basin_id","basin_name","field_id","field_name","well_id","well_name","wellbore_id","wellbore_name","branch_id","dependence_family_id","platform_id","campaign_id","identity_evidence","dependence_evidence","qualification_status","exclusion_reason_code","candidate_archive_identity_status","candidate_well_values","candidate_field_status","candidate_field_values","candidate_unit_ids","candidate_dependence_family_ids","principal_review_status","notes"
"ACTIVE","T0_GIPPSLAND_001","df2e36993fe6c7cc00403e38ecae832503424ca4167bd1ecf93385e99f88f6a3","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Gular-1","SINGLE_HEADER_FIELD_CANDIDATE","Gippsland Basin","UNITCAND_0024","FAMILYCAND_0015","TO_BE_REVIEWED","T0 relative path: D00019177.zip; T1a0 member_count=120; no entry stream opened; T1a1 safe_pass_members=32; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_002","ad5fa907d04936b53f5ed55d14f7cd06fe7d8d5724be56e98a06dce077cfc483","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0025","FAMILYCAND_0016","TO_BE_REVIEWED","T0 relative path: D00019178.zip; T1a0 member_count=735; no entry stream opened; T1a1 safe_pass_members=49; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_003","4671c4fe98ef9282f7c22d8495c4f492520e3f1850db9d64c6c9fabf804e4ccf","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","PATH_ONLY_REVIEW_REQUIRED","","NO_HEADER_FIELD_CANDIDATE","","UNITCAND_0026","FAMILYCAND_0017","TO_BE_REVIEWED","T0 relative path: P00596424.zip; T1a0 member_count=1097; no entry stream opened; T1a1 safe_pass_members=0; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_004","b614b3794db8e579bc7cd0f31a999135604edd2f106a16073b386ebb75fdfbfe","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","FTA A30A","SINGLE_HEADER_FIELD_CANDIDATE","FORTESCUE | Fortescue","UNITCAND_0027","FAMILYCAND_0018","TO_BE_REVIEWED","T0 relative path: P00596425.zip; T1a0 member_count=200; no entry stream opened; T1a1 safe_pass_members=21; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_005","2e42fdb34e0ee95d3e5d72cfaed082010f466033a7cddbe3e25b28177c003299","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Elver-1","SINGLE_HEADER_FIELD_CANDIDATE","VIC-P59","UNITCAND_0028","FAMILYCAND_0019","TO_BE_REVIEWED","T0 relative path: P00635896.zip; T1a0 member_count=152; no entry stream opened; T1a1 safe_pass_members=6; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_006","f27731b022152c279be8317e7d8c73c51258059bd739c59f93db2333d3892b76","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","BALDFISH-1","SINGLE_HEADER_FIELD_CANDIDATE","VIC/P70","UNITCAND_0029","FAMILYCAND_0020","TO_BE_REVIEWED","T0 relative path: P00670761.zip; T1a0 member_count=245; no entry stream opened; T1a1 safe_pass_members=2; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_007","acb4b0bb00c5bfa7a26b1d426a76fe98c8eb1549e85856d3a1b48c6298bd563a","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Baldfish-1","SINGLE_HEADER_FIELD_CANDIDATE","Baldfish","UNITCAND_0030","FAMILYCAND_0020","TO_BE_REVIEWED","T0 relative path: P00670762.zip; T1a0 member_count=92; no entry stream opened; T1a1 safe_pass_members=29; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_008","98efce34698840a95fa5fc99df30598871c8cea49e696bdca4bb53fbf42e7445","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","CBA F35 | CBA-F35","SINGLE_HEADER_FIELD_CANDIDATE","Fortescue","UNITCAND_0031","FAMILYCAND_0021","TO_BE_REVIEWED","T0 relative path: P00685207.zip; T1a0 member_count=81; no entry stream opened; T1a1 safe_pass_members=8; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_009","46e2a5bc72c8bcc5f78a75d30e535125496e03b0b21e206a0bd945b6c557f85a","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","MULTIPLE_HEADER_WELL_CANDIDATES","ANY ET AL 01-02-03-04 | Big Well #1 | Example etal Oil 1-2-3-4 | Rue NEWTON 7","MULTIPLE_HEADER_FIELD_CANDIDATES","BLANC MESNIL | Oilfield | WILDCAT","UNITCAND_0032|UNITCAND_0033|UNITCAND_0034|UNITCAND_0035","FAMILYCAND_0022|FAMILYCAND_0023|FAMILYCAND_0024|FAMILYCAND_0025","TO_BE_REVIEWED","T0 relative path: P00685209.zip; T1a0 member_count=6889; no entry stream opened; T1a1 safe_pass_members=10; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_010","f2f72b7911693cee2232dca2796cd2186004f81e9ddcf48bfcf2e3b9f8f252e8","NOPIMS","PENDING_BASIN_CONTEXT_VERIFICATION","Gippsland","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_PRINCIPAL_IDENTITY_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_WELLBORE_BRANCH_REVIEW","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","UNKNOWN","UNKNOWN","0725_archive_identity_candidates_v2.csv","0725_dependence_family_candidates_v1.csv","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","","SINGLE_HEADER_WELL_CANDIDATE","Hairtail-1","SINGLE_HEADER_FIELD_CANDIDATE","Hairtail","UNITCAND_0036","FAMILYCAND_0026","TO_BE_REVIEWED","T0 relative path: P00712821.zip; T1a0 member_count=55; no entry stream opened; T1a1 safe_pass_members=9; all5_candidate_tokens=true"
