record_status,dependence_family_id,provider,basin_context,petroleum_field,nopta_well_id,well_name,archive_names,dependence_rule,cross_row_merge,component_branch_retained_within_family,evidence_reference,decision,reviewer,decision_datetime_utc,numeric_ROP_accessed
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7082,NOPIMS,Bonaparte Basin,Blacktip,7082,Blacktip P2,D00014583.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7090,NOPIMS,Bonaparte Basin,Blacktip,7090,Blacktip P1,D00014630.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_801,NOPIMS,Bonaparte Basin,Blacktip,801,Blacktip P3,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6426,NOPIMS,Perth Basin,Cliff Head,6426,Cliff Head 7H,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6592,NOPIMS,Perth Basin,Cliff Head,6592,Cliff Head 10,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_2804,NOPIMS,Gippsland Basin,Cobia,2804,Cobia A 14B,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_798,NOPIMS,Gippsland Basin,Cobia,798,Cobia F 35,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_3298,NOPIMS,Gippsland Basin,Fortescue,3298,Fortescue A 4 ST2,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,true,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_3325,NOPIMS,Gippsland Basin,Fortescue,3325,Fortescue A 30,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6959,NOPIMS,Otway Basin,Geographe,6959,Geographe 5,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
