record_status,basin_context,petroleum_field,development_family_count,label_blinded_qualified_family_count,held_family_count,primary_qualification_status,T3_primary_eligibility_rule,principal_decision,principal_decision_datetime_utc,numeric_ROP_accessed
FINAL_PREUNLOCK_ACCEPTED,Bonaparte Basin,Blacktip,3,1,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Perth Basin,Cliff Head,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Gippsland Basin,Cobia,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Gippsland Basin,Fortescue,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Otway Basin,Geographe,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Northern Carnarvon Basin,Gorgon,3,3,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Browse Basin,Ichthys,5,4,1,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Northern Carnarvon Basin,Jansz-Io,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Northern Carnarvon Basin,Macedon,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Bonaparte Basin,Montara,5,3,2,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Browse Basin,Prelude,3,3,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Northern Carnarvon Basin,Scarborough,3,1,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,Otway Basin,Thylacine,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
