training_bundle_row,dependence_unit,_row_id
0,F-9A,0
1,F-9A,2
2,F-9A,6
3,F-9A,10
4,F-9A,13
5,F-9A,17
6,F-9A,30
7,F-9A,37
8,F-9A,38
9,F-9A,41
10,F-9A,49
11,F-9A,51
12,F-9A,52
13,F-9A,65
14,F-9A,68
15,F-9A,75
16,F-9A,78
17,F-9A,80
18,F-9A,89
19,F-9A,93
20,F-9A,94
21,F-9A,96
22,F-9A,97
23,F-9A,102
24,F-9A,105
25,F-9A,108
26,F-9A,110
27,F-9A,113
28,F-9A,114
29,F-9A,119
30,F-9A,121
31,F-9A,131
32,F-9A,135
33,F-9A,136
34,F-9A,137
35,F-9A,141
36,F-9A,145
37,F-9A,157
38,F-9A,159
39,F-9A,161
40,F-9A,162
41,F-9A,168
42,F-9A,170
43,F-9A,176
44,F-9A,181
45,F-9A,185
46,F-9A,186
47,F-9A,190
48,F-9A,191
49,F-9A,193
50,F-9A,197
51,F-9A,200
52,F-9A,201
53,F-9A,203
54,F-9A,208
55,F-9A,210
56,F-9A,212
57,F-9A,213
58,F-9A,214
59,F-9A,215
60,F-9A,217
61,F-9A,219
62,F-9A,226
63,F-9A,230
64,F-9A,231
65,F-9A,236
66,F-9A,238
67,F-9A,240
68,F-9A,247
69,F-9A,249
70,F-9A,250
71,F-9A,253
72,F-9A,256
73,F-9A,258
74,F-9A,261
75,F-9A,262
76,F-9A,263
77,F-9A,270
78,F-9A,271
79,F-9A,277
80,F-9A,286
81,F-9A,292
82,F-9A,293
83,F-9A,294
84,F-9A,295
85,F-9A,298
86,F-9A,299
87,F-9A,300
88,F-9A,301
89,F-9A,313
90,F-9A,314
91,F-9A,315
92,F-9A,316
93,F-9A,322
94,F-9A,325
95,F-9A,328
96,F-9A,329
97,F-9A,332
98,F-9A,333
99,F-9A,334
100,F-9A,338
101,F-9A,342
102,F-9A,343
103,F-9A,347
104,F-9A,350
105,F-9A,351
106,F-9A,352
107,F-9A,356
108,F-9A,372
109,F-9A,373
110,F-9A,374
111,F-9A,377
112,F-9A,383
113,F-9A,389
114,F-9A,390
115,F-9A,393
116,F-9A,394
117,F-9A,395
118,F-9A,397
119,F-9A,398
120,F-9A,407
121,F-9A,410
122,F-9A,412
123,F-9A,424
124,F-9A,428
125,F-9A,432
126,F-9A,437
127,F-9A,439
128,F-9A,441
129,F-9A,451
130,F-9A,453
131,F-9A,457
132,F-9A,460
133,F-9A,463
134,F-9A,464
135,F-9A,466
136,F-9A,470
137,F-9A,474
138,F-9A,477
139,F-9A,479
140,F-9A,483
141,F-9A,485
142,F-9A,487
143,F-9A,489
144,F-9A,490
145,F-9A,498
146,F-9A,499
147,F-9A,501
148,F-9A,502
149,F-9A,506
150,F-9A,507
151,F-9A,512
152,F-9A,514
153,F-9A,519
154,F-9A,521
155,F-9A,522
156,F-9A,527
157,F-9A,529
158,F-9A,534
159,F-9A,537
160,F-9A,545
161,F-9A,551
162,F-9A,553
163,F-9A,554
164,F-9A,559
165,F-9A,561
166,F-9A,562
167,F-9A,565
168,F-9A,567
169,F-9A,571
170,F-9A,575
