basin_context,petroleum_field,development_family_count,label_blinded_qualified_family_count,held_family_count,primary_qualification_status,proposed_primary_field_decision,numeric_ROP_accessed,principal_review_status,principal_review_notes
Bonaparte Basin,Blacktip,3,1,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,false,TO_BE_REVIEWED,
Perth Basin,Cliff Head,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,false,TO_BE_REVIEWED,
Gippsland Basin,Cobia,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Gippsland Basin,Fortescue,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Otway Basin,Geographe,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Northern Carnarvon Basin,Gorgon,3,3,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Browse Basin,Ichthys,5,4,1,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Northern Carnarvon Basin,Jansz-Io,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,false,TO_BE_REVIEWED,
Northern Carnarvon Basin,Macedon,2,0,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,false,TO_BE_REVIEWED,
Bonaparte Basin,Montara,5,3,2,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Browse Basin,Prelude,3,3,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
Northern Carnarvon Basin,Scarborough,3,1,2,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,false,TO_BE_REVIEWED,
Otway Basin,Thylacine,2,2,0,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,false,TO_BE_REVIEWED,
