diagnostic,case_id,seed,condition_a,condition_b,mae_a,mae_b,distortion_a_minus_b,training_rows_a,training_rows_b,test_rows,scoring_points,scoring_coverage_m,mechanism_isolated,claim_scope
split,SPLIT_F9A,20260722,clean_family_isolation,row_leaky_replacement,9.373974889406387,9.283974580408533,0.09000030899785472,16000,16000,2343,2343,99.62999999999994,True,specified matched split contrast
split,SPLIT_F9A,20260723,clean_family_isolation,row_leaky_replacement,8.91034649349161,9.52293272935854,-0.6125862358669298,16000,16000,2343,2343,99.62999999999994,True,specified matched split contrast
split,SPLIT_F9A,20260724,clean_family_isolation,row_leaky_replacement,8.670131391201892,9.09241370695142,-0.4222823157495288,16000,16000,2343,2343,99.62999999999994,True,specified matched split contrast
split,SPLIT_F9A,20260725,clean_family_isolation,row_leaky_replacement,8.972445243212942,9.20607055793667,-0.23362531472372794,16000,16000,2343,2343,99.62999999999994,True,specified matched split contrast
split,SPLIT_F9A,20260726,clean_family_isolation,row_leaky_replacement,9.1839987190619,9.68921825612752,-0.505219537065619,16000,16000,2343,2343,99.62999999999994,True,specified matched split contrast
split,SPLIT_F14,20260722,clean_family_isolation,row_leaky_replacement,23.035906707915895,21.760479822705445,1.2754268852104502,16000,16000,1836,1836,99.84399999999994,True,specified matched split contrast
split,SPLIT_F14,20260723,clean_family_isolation,row_leaky_replacement,22.966018059344435,21.75343979506994,1.2125782642744944,16000,16000,1836,1836,99.84399999999994,True,specified matched split contrast
split,SPLIT_F14,20260724,clean_family_isolation,row_leaky_replacement,22.08749888480519,21.660386235750167,0.42711264905502233,16000,16000,1836,1836,99.84399999999994,True,specified matched split contrast
split,SPLIT_F14,20260725,clean_family_isolation,row_leaky_replacement,22.6767164618281,22.782795631590428,-0.10607916976232801,16000,16000,1836,1836,99.84399999999994,True,specified matched split contrast
split,SPLIT_F14,20260726,clean_family_isolation,row_leaky_replacement,21.593382629934258,22.847476682409425,-1.2540940524751676,16000,16000,1836,1836,99.84399999999994,True,specified matched split contrast
split,SPLIT_F5,20260722,clean_family_isolation,row_leaky_replacement,17.0002807273803,15.785047173563797,1.2152335538165033,16000,16000,2023,2023,99.9989999999998,True,specified matched split contrast
split,SPLIT_F5,20260723,clean_family_isolation,row_leaky_replacement,17.974058014629207,15.121595725783608,2.852462288845599,16000,16000,2023,2023,99.9989999999998,True,specified matched split contrast
split,SPLIT_F5,20260724,clean_family_isolation,row_leaky_replacement,17.599076229074935,15.902716770850876,1.6963594582240589,16000,16000,2023,2023,99.9989999999998,True,specified matched split contrast
