record_status,dependence_family_id,basin_context,petroleum_field,nopta_well_id,well_name,archive_name,archive_source_pool,archive_basin_folder,archive_sha256,selected_source_object,md_mnemonic,md_original_uom,md_conversion,wob_mnemonic,wob_original_uom,wob_conversion,rpm_mnemonic,rpm_original_uom,rpm_conversion,spp_mnemonic,spp_original_uom,spp_conversion,rop_mnemonic,rop_original_uom,rop_conversion,numeric_member_payload_read_during_map_build
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_801,Bonaparte Basin,Blacktip,801,Blacktip P3,D00021233.zip,ORIGINAL_T0,Bonaparte,0B5F280CFE9C094C8A0D29EA97F3D79D47E43E2010DAACE714AA9A84BBAD1EFC,Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7019,Bonaparte Basin,Montara,7019,Montara H5 ST2,D00018169.zip,SUPPLEMENTAL,,2D7E0811B5EEACF792B5C048463D738C0455B15DBAE9A09DA1424EEC0335531B,MWD_LWD/ASCII/Montara_H5_ST-2_DrillingMechanics_RM_Depth_1670-5240m_MD_Interpolated.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7070,Bonaparte Basin,Montara,7070,Montara H2 Phase 2,D00013604.zip,PREUNLOCK_EXTENSION,Bonaparte Basin,3EC41F63C2655D90B0EFFEC690B85D85B91A18CABA478A45478455804056E204,Montara_H2_Digital_Data/LWD/ASCII/PTTEP_Montara-H2_DrillMech_Time_LAS_RM_R2.las,DEPTH,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7071,Bonaparte Basin,Montara,7071,Montara H3 ST1 Phase 2,D00013602.zip,PREUNLOCK_EXTENSION,Bonaparte Basin,312B3A91B0E8ED21134EF7597CD3FD1FD593598D81734A4DA6F27D1683DDF070,Montar_H3_ST1_Digital_Data/LWD/ASCII/Montara-H3-ST1_DrillingMechanics_Time_10May12.las,DEPTH,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6933,Browse Basin,Ichthys,6933,BDC 1C 06,D00017375.zip,ORIGINAL_T0,Browse,939FA7328F0E92213E5060022BFA0F8EFA62A467C8400EAEBB8D551A909F9286,BDC-1C-06_CD953_LWD/ASCII/160228_IOA_F54_BDC-1C-06_DML_Run 5.las,DEPTH,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7448,Browse Basin,Ichthys,7448,BDC 1A 06,P00712768.zip,ORIGINAL_T0,Browse,4915409D95CDFAFA65C609F924F0601D9C5229B78BBC63AF13669B91C6668F40,19AWA0024_INPEX_BDC-1A-06_Final_Deliverable-_Depth_shifted_V2_Final_T13948/ASCII/190723_IOA_F55_BDC-1A-06_DML_Run08.las,DEPTH,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7876,Browse Basin,Ichthys,7876,BDC 2 04 Phase 2,D00021115.zip,D_DATA,Browse,3449E61B4C6CA7F038B31FAECB06FAC57AAF28AFA2D0D44C78F825A1B7D2AE2D,3_BDC-2-04_MWD_LWD/2_Main_well/ASCII/DML/231102_IOA_F44_BDC-2-04_DML_5664_Interpolated.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_804,Browse Basin,Ichthys,804,BDC 2 01 and ST1,D00021473.zip,D_DATA,Browse,E3656CE717644D01DE6F9E5114711B1D7EAF7D93ACEAC2F353629286EEC8EF6E,3_BDC-2-01_01ST1_MWD_LWD/BDC-2-01ST1_Final_Deliverables/ASCII/DML/240121_IOA_F30_BDC-2-01ST1_DML_6746_Interpolated.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6896,Browse Basin,Prelude,6896,Prelude P3,D00017019.zip,PREUNLOCK_EXTENSION_V4,Browse Basin,376D8C9378120C3209CE085910A67151AEB1111B93002F04E31590A9B81ED2BD,Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,Tot Depth,m,x1,WOB,klbs,x0.45359237_to_kkgf,RPM,rpm,x1,SPP,psi,x6.894757293168_to_kPa,ROP m/hr,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6898,Browse Basin,Prelude,6898,Prelude P4,D00017023.zip,PREUNLOCK_EXTENSION_V4,Browse Basin,691CF8925A18720E5B6840CC3ED764CDF2F7B9C935B5782E58E6DE008D32BB24,Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,Tot Depth,m,x1,WOB,klbs,x0.45359237_to_kkgf,RPM,rpm,x1,SPP,psi,x6.894757293168_to_kPa,ROP m/hr,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6900,Browse Basin,Prelude,6900,Prelude P6,D00017033.zip,PREUNLOCK_EXTENSION_V4,Browse Basin,5D6E6B6D03C7838DF87D8CB691E0C9CFF973830C11E43E7B28F942088200A96B,Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P6_Drilldata_258.9-5277.0mMDRT.LAS,Tot Depth,m,x1,WOB,t,x1_tonne_force_to_kkgf,RPM,rpm,x1,SPP,psi,x6.894757293168_to_kPa,ROP m/hr,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_2804,Gippsland Basin,Cobia,2804,Cobia A 14B,P00636337.zip,SUPPLEMENTAL,,2A6D3A73992B7F4DC9251F63D2F14570C381A28BB832D50E2E4C4772ACCEB3F1,9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,DEPT,M,x1,SWOB,KLBF,x0.45359237_to_kkgf,RPM,RPM,x1,SPPA,PSI,x6.894757293168_to_kPa,ROP5_RM,M/HR,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_798,Gippsland Basin,Cobia,798,Cobia F 35,P00685207.zip,ORIGINAL_T0,Gippsland,98EFCE34698840A95FA5FC99DF30598871C8CEA49E696BDCA4BB53FBF42E7445,CBA_F35_Client_Deliverables/9.875_In._Section/LAS/Drilling_Mechanics/CBA F35 DrillMech RM 0_5ft Run 4.LAS,DEPT,M,x1,SWOB,KLBF,x0.45359237_to_kkgf,RPM,RPM,x1,SPPA,PSI,x6.894757293168_to_kPa,ROP5_RM,M/HR,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_3298,Gippsland Basin,Fortescue,3298,Fortescue A 4 ST2,P00596157.zip,SUPPLEMENTAL,,ABFAD32ED1E23B68D5F9FB2114DDB8C0386E3EA16CF7B91F0ABE8594B5C6CF3F,FTA_A4c_Final_Deliverables/LAS/FTA A4c DrillMech Rm 2060-3314m_0_5ft.LAS,DEPT,M,x1,SWOB,KLBF,x0.45359237_to_kkgf,RPM,RPM,x1,SPPA,PSI,x6.894757293168_to_kPa,ROP5_RM,M/HR,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_3325,Gippsland Basin,Fortescue,3325,Fortescue A 30,P00596425.zip,ORIGINAL_T0,Gippsland,B614B3794DB8E579BC7CD0F31A999135604EDD2F106A16073B386EBB75FDFBFE,LAS/Drilling_Mechanics/ENO451423_FTA_A30A_DrillMech_RM_Depth_R3_2042_4602m_0_5m.LAS,DEPT,M,x1,SWOB,KLBF,x0.45359237_to_kkgf,RPM,RPM,x1,SPPA,PSI,x6.894757293168_to_kPa,ROP5,M/HR,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6826,Northern Carnarvon Basin,Gorgon,6826,GOR 1A,D00019950.zip,ORIGINAL_T0,Northern Carnarvon,CB5B5DD04E5169AEEA088C42B9DAEDC2589EC1DAA41E673F38034A466B743ABD,MWD-LWD/LAS/GOR-1A_LWD_RM_Drilling Mech Depth Based_Well Composite_240-4795.50m.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6827,Northern Carnarvon Basin,Gorgon,6827,GOR 1B,D00019938.zip,ORIGINAL_T0,Northern Carnarvon,A9878259481BF1C9335F15648F9362A816244709AE11750F102E7EE0A21E67C0,MWD-LWD/ASCII/GOR-1B_LWD RM Drilling Mech Depth Based_Well Composite_240-5303.5m.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_7456,Northern Carnarvon Basin,Gorgon,7456,GOR 4C,D00019765.zip,ORIGINAL_T0,Northern Carnarvon,CE6CE4B8F7EAFE0D0A85C9AA1DC0920D3A1AAAD69F00E534A35DCA226D912324,MWD-LWD/ASCII/GOR-4C_RM_Drilling Mech Depth Based_Well Composite_277.1-4803m.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_810,Northern Carnarvon Basin,Scarborough,810,SCA 03,D00021452.zip,D_DATA,Northern Carnarvon,22684D7E3AA6CC0B3212155E7853CD9C37DAF558E2E1ABBBFF60CBCD224FFBC6,3_MWD_LWD/02_26in_Hole_Section/Run_200/03_Drilling_Mechanics/02_Digital_Data_Files/SCA03_DM_REC_2600in_DM-DDS-PWD_SR10cm_1694m.las,DEPT,M,x1,WOB,klb,x0.45359237_to_kkgf,RPM,rpm,x1,SPP,psig,x6.894757293168_to_kPa,ROPA,m/hr,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6959,Otway Basin,Geographe,6959,Geographe 5,D00019996.zip,ORIGINAL_T0,Otway,3A008F0ABD2FCF3B3B701501F744795FDB3E606A1463E5B63CA5C7DE531C764E,DRILLING_MECHANICS/Geographe5_RM_DrillingMechanicsDepth_180-4675m_LAS.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6960,Otway Basin,Geographe,6960,Geographe 4,D00020000.zip,ORIGINAL_T0,Otway,ADCDF0AA67EB6C2C38573F9C5DF7CCB298693DB6CF72B4F6611173AD14F91E27,Geographe_4_LWD/DRILLING_MECHANICS/Geographe4_RM_DrillingMechanicsDepth_107-4990m.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6963,Otway Basin,Thylacine,6963,Thylacine North 1,D00020052.zip,ORIGINAL_T0,Otway,4A375650FCA8E9BACBC09656CC0715CDDB541A9FB922B5197A52ED0AA5104867,LWD/DRILLING_MECHANICS/ThylacineNorth1_RM_DrillingMechanicsDepth_123-2790m.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
PREUNLOCK_FROZEN_SOURCE_MAP,LD_NOPTA_6970,Otway Basin,Thylacine,6970,Thylacine North 2,D00020185.zip,SUPPLEMENTAL,,5BCB3CF6C72FC39ECB0E39A953BE922EF8B516FB5C113165086CAE02447F7957,DRILLING_MECHANICS/ThylacineNorth2_RM_DrillingMechanicsDepth_120-6025m_LAS.las,DEPT,m,x1,SWOB,1000 lbf,x0.45359237_to_kkgf,RPM,c/min,x1,SPPA,psi,x6.894757293168_to_kPa,ROP5,m/h,x1_to_m_per_h,false
