source_file,segment_id,unique_MD_points,MD_start_m,MD_end_m,MD_span_m,meets_two_point_minimum
USROP_A 0 N-NA_F-9_Ad.csv,1,16,491.033,492.1,1.0670000000000073,true
USROP_A 0 N-NA_F-9_Ad.csv,2,8,495.605,496.58,0.9749999999999659,true
USROP_A 0 N-NA_F-9_Ad.csv,3,3839,501.396,674.184,172.78799999999995,true
USROP_A 0 N-NA_F-9_Ad.csv,4,1852,675.437,756.6139999999998,81.1769999999998,true
USROP_A 0 N-NA_F-9_Ad.csv,5,2087,758.9580000000002,847.9960000000002,89.03800000000001,true
USROP_A 0 N-NA_F-9_Ad.csv,6,187,883.0060000000002,900.041,17.034999999999854,true
USROP_A 0 N-NA_F-9_Ad.csv,7,26,917.753,921.715,3.961999999999989,true
USROP_A 0 N-NA_F-9_Ad.csv,8,76,956.158,959.51,3.3519999999999754,true
USROP_A 0 N-NA_F-9_Ad.csv,9,79,962.254,964.232,1.9779999999999518,true
USROP_A 0 N-NA_F-9_Ad.csv,10,3024,966.978,1084.649,117.67099999999994,true
USROP_A 0 N-NA_F-9_Ad.csv,11,2552,1086.155,1205.999,119.84400000000005,true
USROP_A 1 N-S_F-7d.csv,1,339,301.231,320.954,19.723000000000013,true
USROP_A 1 N-S_F-7d.csv,2,15,322.0,322.936,0.9359999999999786,true
USROP_A 1 N-S_F-7d.csv,3,3654,324.999,515.981,190.98199999999997,true
USROP_A 1 N-S_F-7d.csv,4,778,519.001,555.9580000000001,36.95700000000011,true
USROP_A 1 N-S_F-7d.csv,5,727,562.999,596.9780000000001,33.97900000000004,true
USROP_A 1 N-S_F-7d.csv,6,876,597.999,633.536,35.53699999999992,true
USROP_A 2 N-SH_F-14d.csv,1,34,987.948,996.178,8.230000000000018,true
USROP_A 2 N-SH_F-14d.csv,2,15528,997.245,1846.948,849.7030000000001,true
USROP_A 2 N-SH_F-14d.csv,3,7960,1849.222,2255.121,405.8990000000001,true
USROP_A 2 N-SH_F-14d.csv,4,4877,2257.928,2506.837,248.9090000000001,true
USROP_A 2 N-SH_F-14d.csv,5,691,2508.001,2566.955,58.95399999999972,true
USROP_A 2 N-SH_F-14d.csv,6,28,2568.001,2569.357,1.3559999999997672,true
USROP_A 2 N-SH_F-14d.csv,7,265,2664.257,2708.3,44.04300000000012,true
USROP_A 2 N-SH_F-14d.csv,8,18260,2709.672,3466.033,756.3609999999999,true
USROP_A 3 N-SH-F-15d.csv,1,33,1306.525,1312.9229999999998,6.3979999999996835,true
USROP_A 3 N-SH-F-15d.csv,2,1856,1314.755,1372.35,57.5949999999998,true
USROP_A 3 N-SH-F-15d.csv,3,58,1373.734,1375.099,1.365000000000009,true
USROP_A 3 N-SH-F-15d.csv,4,16906,1378.306,1841.827,463.52099999999996,true
USROP_A 3 N-SH-F-15d.csv,5,69,1868.601,1871.112,2.5109999999999673,true
USROP_A 3 N-SH-F-15d.csv,6,81,1877.919,1880.0,2.0809999999999036,true
USROP_A 3 N-SH-F-15d.csv,7,82,1907.743,1910.477,2.734000000000151,true
USROP_A 3 N-SH-F-15d.csv,8,72,1948.891,1951.759,2.867999999999938,true
USROP_A 3 N-SH-F-15d.csv,9,56,2016.258,2018.669,2.411000000000058,true
USROP_A 3 N-SH-F-15d.csv,10,59,2055.276,2057.69,2.4140000000002146,true
USROP_A 3 N-SH-F-15d.csv,11,106,2090.632,2096.104,5.471999999999753,true
USROP_A 3 N-SH-F-15d.csv,12,44,2130.863,2132.969,2.106000000000222,true
