candidate_id,mean_unit_mae,worst2_unit_mae,worst_unit_mae,complexity_rank,fixed_order,outer_held,rank_worst2,rank_mean
ExtraTrees_depth12_leaf30,12.16705316016904,17.108455671399224,17.807601093938416,2,4,F-1,2.0,2.0
ExtraTrees_depth18_leaf100,12.059290538904524,16.7717073391186,17.47323455751812,2,5,F-1,1.0,1.0
HistGB_lr005_leaf15,12.661687715829984,17.429681342093602,18.206846270957318,1,2,F-1,3.0,3.0
HistGB_lr008_leaf31,13.121032322935388,17.74157830467847,18.37907195509694,1,3,F-1,4.0,4.0
MLP_64_32,14.916042253643282,22.121717177662813,25.634338183168996,3,6,F-1,8.0,7.0
MLP_96_48,15.188569022338394,21.974764781218923,23.40946226657132,3,7,F-1,7.0,8.0
Ridge_alpha_1,13.268739801763989,18.076047215797956,18.576502275710453,0,0,F-1,5.0,6.0
Ridge_alpha_100,13.25863387429356,18.1114981785163,18.60735041800004,0,1,F-1,6.0,5.0
ExtraTrees_depth12_leaf30,11.158951387185143,16.101317895104,16.936599660451765,2,4,F-10,2.0,1.0
ExtraTrees_depth18_leaf100,11.196666996889205,16.071401250853107,16.745439230147454,2,5,F-10,1.0,2.0
HistGB_lr005_leaf15,11.892220875975468,17.60961615213049,18.29139339507346,1,2,F-10,3.0,3.0
HistGB_lr008_leaf31,12.808032739744831,19.2101583364492,19.628831271586186,1,3,F-10,6.0,6.0
MLP_64_32,14.568183238673631,21.440168665082304,21.6482491061375,3,6,F-10,8.0,7.0
MLP_96_48,14.670327842831572,21.372576363304695,21.92467431153122,3,7,F-10,7.0,8.0
Ridge_alpha_1,12.50321601904604,17.624983289227856,18.07452306760805,0,0,F-10,5.0,5.0
Ridge_alpha_100,12.486770869700727,17.621913284390942,18.11189126759226,0,1,F-10,4.0,4.0
ExtraTrees_depth12_leaf30,12.165034345515224,17.06180125118447,17.69787261968677,2,4,F-11,2.0,2.0
ExtraTrees_depth18_leaf100,12.039197173233115,16.73529581081084,17.466229272028052,2,5,F-11,1.0,1.0
HistGB_lr005_leaf15,13.113563664164731,18.36250614434539,20.050239075900986,1,2,F-11,5.0,5.0
HistGB_lr008_leaf31,13.576682145330768,18.557415018371337,19.521936780226618,1,3,F-11,6.0,6.0
MLP_64_32,14.546585905843175,21.305692901153826,24.581941624428094,3,6,F-11,7.0,7.0
MLP_96_48,15.616990228546586,24.041992999880407,27.271291663150542,3,7,F-11,8.0,8.0
Ridge_alpha_1,12.997878116359223,17.989147587709333,18.496866897484374,0,0,F-11,3.0,4.0
Ridge_alpha_100,12.986758764066739,18.02398632178394,18.527294573890465,0,1,F-11,4.0,3.0
ExtraTrees_depth12_leaf30,10.917965950771439,17.071015263075594,17.87514917346633,2,4,F-12,2.0,1.0
ExtraTrees_depth18_leaf100,10.964590431778353,17.03086128881748,17.923832016580413,2,5,F-12,1.0,2.0
HistGB_lr005_leaf15,11.482333940286821,17.45199841570451,18.616725470177016,1,2,F-12,3.0,3.0
HistGB_lr008_leaf31,11.826166872579115,17.91511668708403,18.344294336255864,1,3,F-12,4.0,4.0
MLP_64_32,12.48330490433506,18.254664192378698,18.791638868300748,3,6,F-12,5.0,5.0
MLP_96_48,12.964724412757207,18.812749031631952,19.019089817080218,3,7,F-12,8.0,8.0
Ridge_alpha_1,12.694455424022753,18.405866587080908,18.95790888943896,0,0,F-12,6.0,7.0
Ridge_alpha_100,12.67708074034524,18.437332091718048,18.98417745748564,0,1,F-12,7.0,6.0
ExtraTrees_depth12_leaf30,11.42674502426906,16.850700021577346,17.29652135994355,2,4,F-14,2.0,1.0
ExtraTrees_depth18_leaf100,11.436456076780752,16.71189645390374,17.395288027943476,2,5,F-14,1.0,2.0
HistGB_lr005_leaf15,12.497614180497393,19.305308488054095,20.60324214556565,1,2,F-14,6.0,3.0
HistGB_lr008_leaf31,13.016867562974976,18.702848635018718,19.70638953738098,1,3,F-14,5.0,6.0
MLP_64_32,14.094024390382362,19.960179089305072,21.301733938854007,3,6,F-14,7.0,7.0
